ad_clicks,impressions,campaign_id,dewPoint,humidity,windSpeed,apparentTemperatureLow,apparentTemperatureHigh
0,11,1,-0.31,0.6,5.04,-1.17,11.79
0,6,1,-0.31,0.6,5.04,-1.17,11.79
0,15,1,-0.31,0.6,5.04,-1.17,11.79
0,3,1,-0.31,0.6,5.04,-1.17,11.79
0,11,1,-0.31,0.6,5.04,-1.17,11.79
0,5,1,-0.31,0.6,5.04,-1.17,11.79
0,6,1,-0.31,0.6,5.04,-1.17,11.79
0,2,1,-0.31,0.6,5.04,-1.17,11.79
0,3,1,-0.31,0.6,5.04,-1.17,11.79
0,7,1,-0.31,0.6,5.04,-1.17,11.79
0,6,1,-0.31,0.6,5.04,-1.17,11.79
0,16,1,-0.31,0.6,5.04,-1.17,11.79
0,10,1,-0.31,0.6,5.04,-1.17,11.79
0,14,1,-0.31,0.6,5.04,-1.17,11.79
0,2,1,-0.31,0.6,5.04,-1.17,11.79
0,15,1,-0.31,0.6,5.04,-1.17,11.79
0,8,1,-0.31,0.6,5.04,-1.17,11.79
0,10,1,-0.31,0.6,5.04,-1.17,11.79
0,16,1,-0.31,0.6,5.04,-1.17,11.79
0,1,1,-0.31,0.6,5.04,-1.17,11.79
0,15,1,-0.31,0.6,5.04,-1.17,11.79
0,17,1,-0.31,0.6,5.04,-1.17,11.79
0,10,1,-0.31,0.6,5.04,-1.17,11.79
0,9,1,-0.31,0.6,5.04,-1.17,11.79
0,8,1,-0.31,0.6,5.04,-1.17,11.79
0,12,2,-0.31,0.6,5.04,-1.17,11.79
0,16,2,-0.31,0.6,5.04,-1.17,11.79
0,10,2,-0.31,0.6,5.04,-1.17,11.79
0,15,2,-0.31,0.6,5.04,-1.17,11.79
0,4,2,-0.31,0.6,5.04,-1.17,11.79
0,3,2,-0.31,0.6,5.04,-1.17,11.79
0,16,2,-0.31,0.6,5.04,-1.17,11.79
0,12,2,-0.31,0.6,5.04,-1.17,11.79
0,19,2,-0.31,0.6,5.04,-1.17,11.79
0,17,2,-0.31,0.6,5.04,-1.17,11.79
0,6,2,-0.31,0.6,5.04,-1.17,11.79
0,4,2,-0.31,0.6,5.04,-1.17,11.79
0,3,3,-0.31,0.6,5.04,-1.17,11.79
0,8,3,-0.31,0.6,5.04,-1.17,11.79
0,15,3,-0.31,0.6,5.04,-1.17,11.79
0,11,3,-0.31,0.6,5.04,-1.17,11.79
0,8,3,-0.31,0.6,5.04,-1.17,11.79
0,2,3,-0.31,0.6,5.04,-1.17,11.79
0,6,3,-0.31,0.6,5.04,-1.17,11.79
0,14,3,-0.31,0.6,5.04,-1.17,11.79
0,4,3,-0.31,0.6,5.04,-1.17,11.79
0,16,4,-0.31,0.6,5.04,-1.17,11.79
0,3,4,-0.31,0.6,5.04,-1.17,11.79
